,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
108,0.0,0.0,15.0,0.0,11.86712440524106,1.9459014222361975e-15
109,0.0,0.0,9.0,0.0,13.496205068964503,1.9459014222361975e-15
110,0.0,0.0,18.0,0.0,11.765445257100383,0.0
111,0.0,0.0,17.0,0.0,11.549627256761983,1.9459014222361975e-15
112,0.0,0.0,100.0,0.0,-24.48035575701678,0.0
113,0.0,0.0,15.0,0.0,12.693380683981324,0.0
114,0.0,0.0,10.0,0.0,12.849344499749591,0.0
115,2.0,0.0,100.0,0.0,-19.569811175836247,0.0
116,0.0,0.0,15.0,0.0,12.105774481814764,0.0
117,0.0,0.0,8.0,0.0,13.270004800632472,1.7763568394002505e-15
118,0.0,0.0,100.0,0.0,-19.59531080479248,0.0
119,3.0,0.0,100.0,0.0,-20.985337997497176,3.891802844472395e-15
120,8.0,0.0,100.0,0.0,-20.4390683586651,0.0
121,0.0,0.0,14.0,0.0,12.569116522346391,0.0
122,0.0,0.0,16.0,0.0,11.67731462242808,0.0
123,0.0,0.0,11.0,0.0,12.582424186377697,1.9459014222361975e-15
124,0.0,0.0,11.0,0.0,12.902068730447116,1.9459014222361975e-15
125,7.0,0.0,100.0,0.0,-22.89055899905049,3.891802844472395e-15
126,0.0,0.0,21.0,0.0,11.933255607390526,0.0
127,0.0,0.0,9.0,0.0,12.952666572786864,1.9459014222361975e-15
128,0.0,0.0,100.0,0.0,-19.753122920907703,0.0
129,0.0,0.0,17.0,0.0,12.169405740905582,0.0
130,0.0,0.0,12.0,0.0,12.656244055895012,1.9459014222361975e-15
131,14.0,0.0,100.0,0.0,-17.72433556722053,3.891802844472395e-15
132,6.0,0.0,100.0,0.0,-20.41243860245229,3.891802844472395e-15
133,0.0,0.0,13.0,0.0,13.246620564511698,7.944109290391273e-16
134,0.0,0.0,100.0,0.0,-18.0995871471286,0.0
135,3.0,0.0,30.0,0.0,9.56611378690575,0.0
136,0.0,0.0,14.0,0.0,12.075096653372322,0.0
137,0.0,0.0,11.0,0.0,12.891887419786318,7.944109290391273e-16
138,0.0,0.0,13.0,0.0,12.632570772162564,0.0
139,0.0,0.0,15.0,0.0,11.91144566221471,0.0
140,0.0,0.0,11.0,0.0,13.227760975616317,1.9459014222361975e-15
141,0.0,0.0,100.0,0.0,-19.98883132582845,3.891802844472395e-15
142,0.0,0.0,16.0,0.0,12.353928296250483,1.9459014222361975e-15
143,0.0,0.0,18.0,0.0,11.15509204685164,0.0
144,14.0,0.0,100.0,0.0,-18.96663797247771,0.0
145,0.0,0.0,21.0,0.0,10.74622494443574,0.0
146,0.0,0.0,16.0,0.0,11.487779302801991,0.0
147,0.0,0.0,16.0,0.0,11.67922548706798,0.0
148,0.0,0.0,11.0,0.0,12.975832506031718,7.944109290391273e-16
